Original: resolve , predicted 1st: local|directory
Original: gl|uniform|fv , predicted 1st: do|test
Original: gl|uniform|i , predicted 1st: verify
Original: gl|uniform|iv , predicted 1st: do|get
Original: gl|uniform|iv , predicted 1st: do|get
Original: gl|uniform|matrix|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|fv , predicted 1st: add
Original: gl|uniform|matrix|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|fv , predicted 1st: add
Original: gl|uniform|matrix|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|fv , predicted 1st: add
Original: gl|use|program , predicted 1st: perform
Original: gl|validate|program , predicted 1st: validate
Original: gl|vertex|attrib|f , predicted 1st: f
Original: gl|vertex|attrib|fv , predicted 1st: do|execute
Original: gl|vertex|attrib|f , predicted 1st: add|f
Original: gl|vertex|attrib|fv , predicted 1st: do|execute
Original: gl|vertex|attrib|f , predicted 1st: check
Original: gl|vertex|attrib|fv , predicted 1st: do|execute
Original: gl|vertex|attrib|f , predicted 1st: set
Original: gl|vertex|attrib|fv , predicted 1st: do|execute
Original: gl|vertex|attrib|pointer , predicted 1st: do|equal
Original: gl|vertex|attrib|pointer , predicted 1st: add
Original: gl|read|buffer , predicted 1st: read
Original: gl|draw|range|elements , predicted 1st: add
Original: gl|draw|range|elements , predicted 1st: add
Original: gl|tex|image|d , predicted 1st: add
Original: gl|tex|image|d , predicted 1st: add
Original: gl|tex|sub|image|d , predicted 1st: add
Original: gl|tex|sub|image|d , predicted 1st: add
Original: gl|copy|tex|sub|image|d , predicted 1st: add
Original: gl|gen|queries , predicted 1st: execute
Original: gl|gen|queries , predicted 1st: execute|queries
Original: gl|delete|queries , predicted 1st: delete|queries
Original: gl|delete|queries , predicted 1st: delete|queries
Original: gl|is|query , predicted 1st: is|query
Original: gl|begin|query , predicted 1st: do|execute
Original: gl|end|query , predicted 1st: do|execute
Original: gl|get|queryiv , predicted 1st: do|get
Original: gl|get|query|objectuiv , predicted 1st: execute
Original: gl|unmap|buffer , predicted 1st: get|boolean
Original: gl|get|buffer|pointerv , predicted 1st: get|buffer
Original: gl|draw|buffers , predicted 1st: execute
Original: gl|uniform|matrix|x|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|x|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|x|fv , predicted 1st: do|get
Original: gl|uniform|matrix|x|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|x|fv , predicted 1st: do|execute
Original: gl|uniform|matrix|x|fv , predicted 1st: do|execute
Original: gl|blit|framebuffer , predicted 1st: add
Original: gl|renderbuffer|storage|multisample , predicted 1st: add
Original: gl|framebuffer|texture|layer , predicted 1st: add
Original: gl|flush|mapped|buffer|range , predicted 1st: write|range|range|range
Original: gl|bind|vertex|array , predicted 1st: do|bind|array
Original: gl|delete|vertex|arrays , predicted 1st: delete|arrays
Original: gl|delete|vertex|arrays , predicted 1st: do|execute
Original: gl|gen|vertex|arrays , predicted 1st: compare|at
Original: gl|gen|vertex|arrays , predicted 1st: compare
Original: gl|is|vertex|array , predicted 1st: is|array|is|array
Original: gl|begin|transform|feedback , predicted 1st: perform
Original: gl|end|transform|feedback , predicted 1st: execute
Original: gl|bind|buffer|range , predicted 1st: do|get
Original: gl|bind|buffer|base , predicted 1st: do|execute
Original: gl|transform|feedback|varyings , predicted 1st: execute
Original: gl|vertex|attrib|i|pointer , predicted 1st: add
Original: gl|get|vertex|attrib|iiv , predicted 1st: do|get
Original: gl|get|vertex|attrib|iuiv , predicted 1st: do|get
Original: gl|vertex|attrib|i|i , predicted 1st: verify
Original: gl|vertex|attrib|i|ui , predicted 1st: verify
Original: gl|get|uniformuiv , predicted 1st: get
Original: gl|get|frag|data|location , predicted 1st: get|data|location
Original: gl|uniform|uiv , predicted 1st: perform|get
Original: gl|uniform|uiv , predicted 1st: perform
Original: gl|uniform|uiv , predicted 1st: perform|with
Original: gl|clear|bufferiv , predicted 1st: compare|term
Original: gl|clear|bufferuiv , predicted 1st: compare|with
Original: gl|clear|bufferfv , predicted 1st: compare|term
Original: gl|clear|bufferfi , predicted 1st: compare
Original: gl|get|stringi , predicted 1st: get
Original: gl|copy|buffer|sub|data , predicted 1st: write|write
Original: gl|get|uniform|indices , predicted 1st: check|indices
Original: gl|get|active|uniformsiv , predicted 1st: do|find
Original: gl|get|uniform|block|index , predicted 1st: get|index|index
Original: gl|get|active|uniform|blockiv , predicted 1st: do|find
Original: gl|get|active|uniform|block|name , predicted 1st: check|block
Original: gl|get|active|uniform|block|name , predicted 1st: get|byte
Original: gl|uniform|block|binding , predicted 1st: write|block
Original: gl|draw|arrays|instanced , predicted 1st: put
Original: gl|draw|elements|instanced , predicted 1st: put
Original: gl|get|integer|v , predicted 1st: do|get
Original: gl|get|buffer|parameteri|v , predicted 1st: do|get|buffer
Original: gl|gen|samplers , predicted 1st: perform|equal
Original: gl|gen|samplers , predicted 1st: perform|execute
Original: gl|delete|samplers , predicted 1st: delete
Original: gl|delete|samplers , predicted 1st: delete|data
Original: gl|is|sampler , predicted 1st: is|not|null
Original: gl|bind|sampler , predicted 1st: visit|bind
Original: gl|sampler|parameteri , predicted 1st: add
Original: gl|sampler|parameteriv , predicted 1st: do|get
Original: gl|sampler|parameterf , predicted 1st: add
Original: gl|sampler|parameterfv , predicted 1st: visit
Original: gl|get|sampler|parameteriv , predicted 1st: do|get
Original: gl|get|sampler|parameterfv , predicted 1st: do|float
Original: gl|vertex|attrib|divisor , predicted 1st: do|execute
Original: gl|bind|transform|feedback , predicted 1st: perform|execute
Original: gl|delete|transform|feedbacks , predicted 1st: execute
Original: gl|delete|transform|feedbacks , predicted 1st: execute
Original: gl|gen|transform|feedbacks , predicted 1st: execute
Original: gl|gen|transform|feedbacks , predicted 1st: execute
Original: gl|is|transform|feedback , predicted 1st: get|boolean
Original: gl|pause|transform|feedback , predicted 1st: test|execute
Original: gl|resume|transform|feedback , predicted 1st: do|execute
Original: gl|program|parameteri , predicted 1st: add
Original: gl|invalidate|framebuffer , predicted 1st: execute
Original: gl|invalidate|sub|framebuffer , predicted 1st: compare
Original: initialize , predicted 1st: do|get
Original: create , predicted 1st: test|with|null
Original: create|axes , predicted 1st: test|process
Original: on|loaded , predicted 1st: after|properties|set
Original: render , predicted 1st: set|instances
Original: render , predicted 1st: on|run|on
Original: dispose , predicted 1st: clean|up
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: build , predicted 1st: do|execute
Original: refit , predicted 1st: do|execute
Original: refit|partial , predicted 1st: do|equal
Original: update|bvh|nodes , predicted 1st: do|execute
Original: serialize|in|place , predicted 1st: serialize|at
Original: de|serialize|in|place , predicted 1st: serialize
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|material|properties , predicted 1st: find|by
Original: touch|down , predicted 1st: position|and|position
Original: touch|dragged , predicted 1st: position|and|position|position
Original: touch|up , predicted 1st: on|up
Original: calculate|position|and|value , predicted 1st: add|change
Original: set|style , predicted 1st: set|style
Original: get|style , predicted 1st: get|style
Original: hit , predicted 1st: contains
Original: layout , predicted 1st: init
Original: draw , predicted 1st: do|create
Original: get|pref|width , predicted 1st: get|min
Original: get|pref|height , predicted 1st: get|min|height
Original: is|touched , predicted 1st: is|enabled
Original: get|reset|on|touch|up , predicted 1st: is|up|on|up
Original: set|reset|on|touch|up , predicted 1st: set|on|on|clear
Original: set|deadzone , predicted 1st: set|radius
Original: get|knob|x , predicted 1st: get|position
Original: get|knob|y , predicted 1st: get|position
Original: get|knob|percent|x , predicted 1st: get|percent
Original: get|knob|percent|y , predicted 1st: get|percent
Original: create , predicted 1st: test|timer|task
Original: run , predicted 1st: test|timer
Original: new|object , predicted 1st: create
Original: new|object , predicted 1st: new
Original: new|object , predicted 1st: get|instance
Original: new|object , predicted 1st: get|instance
Original: bt|get|version , predicted 1st: get|version
Original: bt|sqrt , predicted 1st: sqrt
Original: bt|fabs , predicted 1st: compare
Original: bt|cos , predicted 1st: cos
Original: bt|sin , predicted 1st: sin
Original: bt|tan , predicted 1st: tan
Original: bt|acos , predicted 1st: acos
Original: bt|asin , predicted 1st: asin
Original: bt|atan , predicted 1st: atan
Original: bt|atan , predicted 1st: atan
Original: bt|exp , predicted 1st: exp
Original: bt|log , predicted 1st: log
Original: bt|pow , predicted 1st: ge
Original: bt|fmod , predicted 1st: le
Original: bt|atan|fast , predicted 1st: atan
Original: bt|fuzzy|zero , predicted 1st: fuzzy|fuzzy
Original: bt|equal , predicted 1st: le
Original: bt|greater|equal , predicted 1st: greater
Original: bt|is|negative , predicted 1st: is|digit
Original: bt|radians , predicted 1st: floor
Original: bt|degrees , predicted 1st: tan
Original: bt|fsel , predicted 1st: compare
Original: bt|machine|is|little|endian , predicted 1st: is|span
Original: bt|select , predicted 1st: greater|value
Original: bt|select , predicted 1st: compare
Original: bt|select , predicted 1st: compare
Original: bt|swap|endian , predicted 1st: visit
Original: bt|swap|endian , predicted 1st: visit
Original: bt|swap|endian , predicted 1st: visit
Original: bt|swap|endian|float , predicted 1st: float|float
Original: bt|unswap|endian|float , predicted 1st: float
Original: bt|swap|endian|double , predicted 1st: double
Original: bt|unswap|endian|double , predicted 1st: get
Original: bt|large|dot , predicted 1st: visit|c
Original: bt|normalize|angle , predicted 1st: normalize
Original: bt|dot , predicted 1st: do|write
Original: bt|distance , predicted 1st: do|to
Original: bt|distance , predicted 1st: do|write
Original: bt|angle , predicted 1st: do|copy
Original: bt|cross , predicted 1st: with|value
Original: bt|triple , predicted 1st: do|equal
Original: lerp , predicted 1st: do|copy
Original: bt|swap|scalar|endian , predicted 1st: visit
Original: bt|swap|vector|endian , predicted 1st: visit
Original: bt|un|swap|vector|endian , predicted 1st: swap
Original: dot , predicted 1st: matches
Original: length , predicted 1st: length
Original: bt|angle , predicted 1st: matches
Original: inverse , predicted 1st: inverse
Original: slerp , predicted 1st: t
Original: quat|rotate , predicted 1st: do|parse
Original: shortest|arc|quat , predicted 1st: with
Original: shortest|arc|quat|normalize , predicted 1st: do|parse
Original: aabb|expand , predicted 1st: expand
Original: test|point|against|aabb , predicted 1st: point
Original: test|aabb|against|aabb , predicted 1st: between
Original: test|triangle|against|aabb , predicted 1st: between
Original: bt|outcode , predicted 1st: my
Original: bt|ray|aabb , predicted 1st: create
Original: bt|ray|aabb , predicted 1st: do|equal
Original: bt|transform|aabb , predicted 1st: do|equal
Original: bt|transform|aabb , predicted 1st: do|equal
Original: test|quantized|aabb|against|quantized|aabb , predicted 1st: get|max|min
Original: gen|srand , predicted 1st: mutate
Original: gen|rand , predicted 1st: get|avg
Original: bt|aabb|support , predicted 1st: execute
Original: graham|scan|convex|hull|d , predicted 1st: apply
Original: bt|aligned|alloc|internal , predicted 1st: size
Original: bt|aligned|free|internal , predicted 1st: free
Original: bt|aligned|alloc|set|custom , predicted 1st: m
Original: bt|aligned|alloc|set|custom|aligned , predicted 1st: m
Original: get|bt|hash|null , predicted 1st: get|hash|null
Original: create|world , predicted 1st: test|parse
Original: key|down , predicted 1st: apply
Original: set|actor , predicted 1st: set|actor
Original: choose , predicted 1st: check
Original: has|items , predicted 1st: is|selected
Original: is|empty , predicted 1st: is|empty
Original: size , predicted 1st: get|size
Original: items , predicted 1st: get|selected
Original: first , predicted 1st: get
Original: snapshot , predicted 1st: set|up
Original: revert , predicted 1st: set|up
Original: cleanup , predicted 1st: reset
Original: set , predicted 1st: add
Original: set|all , predicted 1st: set|up
Original: add , predicted 1st: set|last
Original: add|all , predicted 1st: add
Original: remove , predicted 1st: add
Original: remove|all , predicted 1st: remove
Original: clear , predicted 1st: reset
Original: fire|change|event , predicted 1st: is|next|change
Original: contains , predicted 1st: contains
Original: get|last|selected , predicted 1st: get|last
Original: iterator , predicted 1st: iterator
Original: to|array , predicted 1st: iterator
Original: to|array , predicted 1st: to|array
Original: set|disabled , predicted 1st: set|disabled
Original: is|disabled , predicted 1st: is|disabled
Original: get|toggle , predicted 1st: is|toggle
Original: set|toggle , predicted 1st: set|toggle
Original: get|multiple , predicted 1st: is|multiple
Original: set|multiple , predicted 1st: set|multiple
Original: get|required , predicted 1st: is|required
Original: set|required , predicted 1st: set|required
Original: set|programmatic|change|events , predicted 1st: set|change|change
Original: to|string , predicted 1st: get|selected
Original: check|npot , predicted 1st: init
Original: has|pkm|header , predicted 1st: is|next
Original: write , predicted 1st: write
Original: dispose , predicted 1st: do|byte
Original: to|string , predicted 1st: validate
Original: get|pixel|size , predicted 1st: get
Original: encode|image , predicted 1st: do|copy
Original: encode|image|pkm , predicted 1st: do|get|data
Original: decode|image , predicted 1st: do|get|data
Original: set|view , predicted 1st: do|process
Original: set|view , predicted 1st: set|max
Original: render , predicted 1st: do|create
Original: render , predicted 1st: do|get
Original: render|objects , predicted 1st: set|object
Original: render|object , predicted 1st: set|object
Original: render|tile|layer , predicted 1st: set|next
Original: render|image|layer , predicted 1st: set|from|float
Original: invalidate|cache , predicted 1st: reset
Original: is|cached , predicted 1st: is|cached
Original: set|over|cache , predicted 1st: set|cache
Original: set|max|tile|size , predicted 1st: set|max|height
Original: set|blending , predicted 1st: set|bool
Original: get|sprite|cache , predicted 1st: get|cache|cache
Original: dispose , predicted 1st: dispose
Original: act , predicted 1st: check
Original: get|manager , predicted 1st: get|manager
Original: get|container , predicted 1st: get|container
Original: set|actor , predicted 1st: set
Original: get|actor , predicted 1st: get
Original: set|instant , predicted 1st: set|instant
Original: set|always , predicted 1st: set|always
Original: touch|down , predicted 1st: on|down
Original: mouse|moved , predicted 1st: add|input
Original: set|container|position , predicted 1st: to|stage
Original: enter , predicted 1st: set|from
Original: exit , predicted 1st: on|input
Original: hide , predicted 1st: after
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|instance , predicted 1st: get|indexed
Original: obtain , predicted 1st: get|indexed
Original: obtain , predicted 1st: get|index
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: validate|part|part
Original: set , predicted 1st: set
Original: set , predicted 1st: get|attribute
Original: set , predicted 1st: add|bytes
Original: set , predicted 1st: set|index
Original: set|num|triangles , predicted 1st: increment
Original: get|num|triangles , predicted 1st: get
Original: set|triangle|index|base , predicted 1st: do|empty
Original: get|triangle|index|base , predicted 1st: get|indexed
Original: set|triangle|index|stride , predicted 1st: increment
Original: get|triangle|index|stride , predicted 1st: get
Original: set|num|vertices , predicted 1st: increment
Original: get|num|vertices , predicted 1st: get
Original: set|vertex|base , predicted 1st: set|max|direct
Original: get|vertex|base , predicted 1st: get
Original: set|vertex|stride , predicted 1st: increment
Original: get|vertex|stride , predicted 1st: get
Original: set|index|type , predicted 1st: add|indexed
Original: get|index|type , predicted 1st: get|index|index
Original: set|vertex|type , predicted 1st: set|value
Original: get|vertex|type , predicted 1st: get|indexed
Original: set|triangle|index|base , predicted 1st: do|be
Original: set|vertex|base , predicted 1st: set|index
Original: set|vertices , predicted 1st: add|indexed
Original: set|indices , predicted 1st: index|index
Original: set|value , predicted 1st: get
Original: set|one|model|selection|required , predicted 1st: set|is|model
Original: set|multiple|selection|allowed , predicted 1st: set|is|this|allowed
Original: set|excluded|templates , predicted 1st: set|templates|templates
Original: set|loaded|templates , predicted 1st: remove
Original: get|template|name , predicted 1st: get|file|name
Original: reload|templates , predicted 1st: set|up
Original: initialize|components , predicted 1st: create|default|model
Original: get|column|class , predicted 1st: get|column
Original: get|preferred|scrollable|viewport|size , predicted 1st: get|preferred|size
Original: table|changed , predicted 1st: on|update
Original: template|checked , predicted 1st: process
Original: on|resource|loaded , predicted 1st: add
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|suspension|stiffness , predicted 1st: not
Original: get|suspension|stiffness , predicted 1st: c
Original: set|suspension|compression , predicted 1st: not|value
Original: get|suspension|compression , predicted 1st: c|frac
Original: set|suspension|damping , predicted 1st: not|value
Original: get|suspension|damping , predicted 1st: c
Original: set|max|suspension|travel|cm , predicted 1st: not
Original: get|max|suspension|travel|cm , predicted 1st: c
Original: set|friction|slip , predicted 1st: not|value
Original: get|friction|slip , predicted 1st: c
Original: set|max|suspension|force , predicted 1st: not|value
Original: get|max|suspension|force , predicted 1st: c
Original: get|chassis|world|transform , predicted 1st: c
Original: ray|cast , predicted 1st: get
Original: update|vehicle , predicted 1st: execute
Original: reset|suspension , predicted 1st: c
Original: get|steering|value , predicted 1st: get
Original: set|steering|value , predicted 1st: set
Original: apply|engine|force , predicted 1st: force
Original: get|wheel|transform|ws , predicted 1st: get
Original: update|wheel|transform , predicted 1st: update
Original: update|wheel|transform , predicted 1st: add
Original: add|wheel , predicted 1st: compare
Original: get|num|wheels , predicted 1st: get
Original: set|wheel|info , predicted 1st: not|value
Original: get|wheel|info , predicted 1st: equals
Original: get|wheel|info , predicted 1st: get
Original: update|wheel|transforms|ws , predicted 1st: execute
Original: update|wheel|transforms|ws , predicted 1st: execute
Original: set|brake , predicted 1st: add
Original: set|pitch|control , predicted 1st: not
Original: update|suspension , predicted 1st: add
Original: update|friction , predicted 1st: execute
Original: get|rigid|body , predicted 1st: get|instance
Original: get|right|axis , predicted 1st: get|right
Original: get|up|axis , predicted 1st: get|up
Original: get|forward|axis , predicted 1st: get
Original: get|forward|vector , predicted 1st: get
Original: get|current|speed|km|hour , predicted 1st: get
Original: set|coordinate|system , predicted 1st: index
Original: get|user|constraint|type , predicted 1st: get
Original: set|user|constraint|type , predicted 1st: set|user|type
Original: set|user|constraint|id , predicted 1st: set|uid
Original: get|user|constraint|id , predicted 1st: get|checked
Original: run , predicted 1st: setup
Original: button|released , predicted 1st: add|up
Original: button|pressed , predicted 1st: cancel
Original: axis|moved , predicted 1st: do|test
Original: pov|moved , predicted 1st: test|execute
Original: x|slider|moved , predicted 1st: test
Original: y|slider|moved , predicted 1st: add|all
Original: get|button , predicted 1st: is|button|button
Original: get|axis , predicted 1st: get
Original: get|pov , predicted 1st: fetch
Original: get|slider|x , predicted 1st: get
Original: get|slider|y , predicted 1st: get
Original: get|accelerometer , predicted 1st: get
Original: set|accelerometer|sensitivity , predicted 1st: set|float
Original: get|control|count , predicted 1st: get|count
Original: add|listener , predicted 1st: add|listener
Original: remove|listener , predicted 1st: remove|listener
Original: get|name , predicted 1st: get|name
Original: to|string , predicted 1st: get|name
Original: get|window|handle , predicted 1st: get
Original: invoke|method , predicted 1st: invoke
Original: build|vertex|attributes , predicted 1st: convert|to|attribute
Original: set|shader , predicted 1st: set
Original: begin , predicted 1st: set|type
Original: color , predicted 1st: set|color
Original: color , predicted 1st: set|color
Original: color , predicted 1st: set|color
Original: tex|coord , predicted 1st: set
Original: normal , predicted 1st: set|next
Original: vertex , predicted 1st: set|next
Original: flush , predicted 1st: test
Original: end , predicted 1st: flush
Original: get|num|vertices , predicted 1st: get|num|number
Original: get|max|vertices , predicted 1st: get|max|index
Original: dispose , predicted 1st: init
Original: create|vertex|shader , predicted 1st: visit
Original: create|fragment|shader , predicted 1st: visit
Original: create|default|shader , predicted 1st: check
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|long
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|rb|a , predicted 1st: do|value
Original: get|rb|a , predicted 1st: get|value
Original: set|rb|b , predicted 1st: do|value
Original: get|rb|b , predicted 1st: get|float
Original: set|name , predicted 1st: do|get|float|term
Original: get|name , predicted 1st: get|typed|data
Original: set|object|type , predicted 1st: do|value
Original: get|object|type , predicted 1st: get|data
Original: set|user|constraint|type , predicted 1st: do|value
Original: get|user|constraint|type , predicted 1st: get|data|term
Original: set|user|constraint|id , predicted 1st: do|value
Original: get|user|constraint|id , predicted 1st: get|float|term
Original: set|needs|feedback , predicted 1st: do|float
Original: get|needs|feedback , predicted 1st: get|float|term
Original: set|applied|impulse , predicted 1st: do|float|float
Original: get|applied|impulse , predicted 1st: get|float|float
Original: set|dbg|draw|size , predicted 1st: do|float
Original: get|dbg|draw|size , predicted 1st: get|float|term
Original: set|disable|collisions|between|linked|bodies , predicted 1st: do|get|float
Original: get|disable|collisions|between|linked|bodies , predicted 1st: get|data
Original: set|override|num|solver|iterations , predicted 1st: do|float
Original: get|override|num|solver|iterations , predicted 1st: get|data
Original: set|breaking|impulse|threshold , predicted 1st: do|get|float|term
Original: get|breaking|impulse|threshold , predicted 1st: get|float|float
Original: set|is|enabled , predicted 1st: do|get|data
Original: get|is|enabled , predicted 1st: get|typed|data
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|data
Original: set|basis , predicted 1st: do|find|one
Original: get|basis , predicted 1st: test|wildcard
Original: set|origin , predicted 1st: do|float
Original: get|origin , predicted 1st: get|float
Original: act , predicted 1st: remove
Original: get|action , predicted 1st: get|action
Original: set|action , predicted 1st: set|action
Original: reset , predicted 1st: reset
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: calc|pen|depth , predicted 1st: do|equal
Original: begin , predicted 1st: set|up
Original: update , predicted 1st: set|percent
Original: get|value , predicted 1st: get|value
Original: set|value , predicted 1st: set|value
Original: get|start , predicted 1st: get|start
Original: set|start , predicted 1st: set|start
Original: get|end , predicted 1st: get|end
Original: set|end , predicted 1st: set|end
Original: is|attached , predicted 1st: get|changeable
Original: set|attached , predicted 1st: set|classification
Original: get|device|id , predicted 1st: get|device|id
Original: get|slider|x , predicted 1st: is|visible
Original: get|slider|y , predicted 1st: is|checked
Original: get|accelerometer , predicted 1st: get
Original: set|accelerometer|sensitivity , predicted 1st: set|staged|object
Original: add|listener , predicted 1st: add|listener
Original: remove|listener , predicted 1st: remove|listener
Original: get|listeners , predicted 1st: get|listeners|listeners
Original: get|button , predicted 1st: contains
Original: get|axis , predicted 1st: get
Original: get|pov , predicted 1st: get
Original: get|name , predicted 1st: get|name|name
Original: dispose , predicted 1st: do|upgrade
Original: pause , predicted 1st: clean|up
Original: resume , predicted 1st: do|upgrade
Original: render , predicted 1st: do|test
Original: resize , predicted 1st: set|height
Original: set|screen , predicted 1st: set|screen
Original: get|screen , predicted 1st: get|screen|screen
Original: load|from|file , predicted 1st: load|from|load
Original: load|from|file , predicted 1st: create|data
Original: reset , predicted 1st: add|valid
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|rotational|limit|motor , predicted 1st: get
Original: get|translational|limit|motor , predicted 1st: get|some
Original: calculate|transforms , predicted 1st: visit
Original: calculate|transforms , predicted 1st: c
Original: get|calculated|transform|a , predicted 1st: c
Original: get|calculated|transform|b , predicted 1st: c
Original: get|frame|offset|a , predicted 1st: get
Original: get|frame|offset|b , predicted 1st: get
Original: get|axis , predicted 1st: get|some|index
Original: get|angle , predicted 1st: get|some|index
Original: get|relative|pivot|position , predicted 1st: get|valid|index
Original: set|frames , predicted 1st: visit
Original: set|linear|lower|limit , predicted 1st: visit|valid
Original: get|linear|lower|limit , predicted 1st: visit|advisor
Original: set|linear|upper|limit , predicted 1st: visit|some
Original: get|linear|upper|limit , predicted 1st: visit|some
Original: set|angular|lower|limit , predicted 1st: visit
Original: set|angular|lower|limit|reversed , predicted 1st: visit
Original: get|angular|lower|limit , predicted 1st: visit
Original: get|angular|lower|limit|reversed , predicted 1st: visit|advisor
Original: set|angular|upper|limit , predicted 1st: visit
Original: set|angular|upper|limit|reversed , predicted 1st: visit|advisor
Original: get|angular|upper|limit , predicted 1st: visit
Original: get|angular|upper|limit|reversed , predicted 1st: visit|advisor
Original: set|limit , predicted 1st: visit|valid
Original: set|limit|reversed , predicted 1st: visit|order
Original: is|limited , predicted 1st: index
Original: set|rotation|order , predicted 1st: order|some
Original: get|rotation|order , predicted 1st: get|valid
Original: set|axis , predicted 1st: visit
Original: set|bounce , predicted 1st: add|some
Original: enable|motor , predicted 1st: add|valid|auth
Original: set|servo , predicted 1st: add|advisor
Original: set|target|velocity , predicted 1st: valid|order
Original: set|servo|target , predicted 1st: visit
Original: set|max|motor|force , predicted 1st: add|some
Original: enable|spring , predicted 1st: add|advisor
Original: set|stiffness , predicted 1st: add|order
Original: set|stiffness , predicted 1st: add|advisor
Original: set|damping , predicted 1st: add|order
Original: set|damping , predicted 1st: add|valid|order
Original: set|equilibrium|point , predicted 1st: c
Original: set|equilibrium|point , predicted 1st: add|advisor
Original: set|equilibrium|point , predicted 1st: visit|order
Original: set|param , predicted 1st: declare|order
Original: set|param , predicted 1st: visit|order
Original: get|param , predicted 1st: get|valid
Original: get|param , predicted 1st: get|valid
Original: create , predicted 1st: test|with|input|with|input
Original: dispose , predicted 1st: do|call
Original: render , predicted 1st: test|update
Original: resize , predicted 1st: update
Original: extension , predicted 1st: get|index|index
Original: accept , predicted 1st: is|directory
Original: get|type , predicted 1st: get|asset|type
Original: is|image , predicted 1st: is|extension|extension|extension
Original: is|text , predicted 1st: is|extension|extension
Original: is|audio , predicted 1st: is|extension|extension|extension
Original: get|bundle|name , predicted 1st: get|jsp|path
Original: create , predicted 1st: with|up
Original: render , predicted 1st: test|batch|batch|batch
Original: get|num|rows , predicted 1st: get|num|num
Original: get|num|cols , predicted 1st: get|num|number
Original: get|location , predicted 1st: get
Original: on|generic|motion , predicted 1st: do|success
Original: log|action , predicted 1st: do|action
Original: post|touch|event , predicted 1st: set|event
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swig|director|disconnect , predicted 1st: clear
Original: swig|release|ownership , predicted 1st: reset
Original: swig|take|ownership , predicted 1st: reset
Original: on|internal|tick , predicted 1st: execute|internal
Original: detach , predicted 1st: c
Original: attach , predicted 1st: attach
Original: attach , predicted 1st: c|each|actions
Original: detach , predicted 1st: pre|pre
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|id , predicted 1st: set|id
Original: get|id , predicted 1st: get
Original: set|sz , predicted 1st: set
Original: get|sz , predicted 1st: get
Original: create , predicted 1st: test|create|with|indices
Original: create|texture , predicted 1st: init
Original: resume , predicted 1st: after|properties|set
Original: render , predicted 1st: test|nested
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|id
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|type|constraint|data , predicted 1st: do|get|value
Original: get|type|constraint|data , predicted 1st: get|empty
Original: set|rb|a|frame , predicted 1st: visit|value
Original: get|rb|a|frame , predicted 1st: get|data
Original: set|rb|b|frame , predicted 1st: visit|value
Original: get|rb|b|frame , predicted 1st: get|data
Original: set|linear|upper|limit , predicted 1st: do|value
Original: get|linear|upper|limit , predicted 1st: get|float
Original: set|linear|lower|limit , predicted 1st: do|value
Original: get|linear|lower|limit , predicted 1st: get|float
Original: set|linear|bounce , predicted 1st: do|value
Original: get|linear|bounce , predicted 1st: get|float
Original: set|linear|stop|erp , predicted 1st: do|value
Original: get|linear|stop|erp , predicted 1st: get|float
Original: set|linear|stop|cfm , predicted 1st: do|value
Original: get|linear|stop|cfm , predicted 1st: get|float
Original: set|linear|motor|erp , predicted 1st: do|value
